x1,y1,x2,y2,x3,y3,d12,d23,d13,v1,v2,v3
-0.957146,-0.999726,0.958209,-0.303315,0.909438,-0.248345,0.956793,0.737924,0.910935,0.128545,0.133638,0.546544
-0.956263,-0.999717,0.957345,-0.301507,0.907724,-0.246220,0.956189,0.738533,0.909636,0.129899,0.134113,0.545462
-0.955371,-0.999708,0.956472,-0.299701,0.905998,-0.244106,0.955579,0.739128,0.908326,0.131253,0.134593,0.544375
-0.954471,-0.999699,0.955590,-0.297896,0.904261,-0.242003,0.954963,0.739707,0.907005,0.132607,0.135078,0.543283
-0.953561,-0.999690,0.954699,-0.296092,0.902511,-0.239910,0.954341,0.740269,0.905674,0.133962,0.135567,0.542186
-0.952642,-0.999681,0.953799,-0.294290,0.900750,-0.237829,0.953713,0.740816,0.904333,0.135317,0.136060,0.541084
-0.951715,-0.999671,0.952890,-0.292489,0.898978,-0.235759,0.953079,0.741346,0.902981,0.136673,0.136558,0.539978
-0.950778,-0.999662,0.951973,-0.290690,0.897194,-0.233700,0.952438,0.741858,0.901619,0.138029,0.137060,0.538867
-0.949833,-0.999652,0.951046,-0.288893,0.895399,-0.231652,0.951791,0.742354,0.900247,0.139386,0.137567,0.537751
-0.948878,-0.999642,0.950111,-0.287097,0.893592,-0.229615,0.951139,0.742831,0.898864,0.140743,0.138078,0.536631
-0.947915,-0.999631,0.949166,-0.285302,0.891774,-0.227590,0.950480,0.743290,0.897471,0.142100,0.138593,0.535506
-0.946943,-0.999621,0.948213,-0.283509,0.889946,-0.225575,0.949815,0.743730,0.896068,0.143458,0.139113,0.534377
-0.945961,-0.999610,0.947251,-0.281718,0.888107,-0.223573,0.949143,0.744152,0.894655,0.144817,0.139637,0.533244
-0.944971,-0.999599,0.946280,-0.279928,0.886257,-0.221581,0.948466,0.744554,0.893232,0.146176,0.140166,0.532106
-0.943972,-0.999588,0.945300,-0.278140,0.884396,-0.219601,0.947783,0.744936,0.891798,0.147536,0.140698,0.530965
-0.942964,-0.999577,0.944311,-0.276354,0.882525,-0.217632,0.947093,0.745299,0.890355,0.148896,0.141236,0.529819
-0.941947,-0.999565,0.943313,-0.274569,0.880643,-0.215675,0.946397,0.745641,0.888902,0.150256,0.141777,0.528669
-0.940921,-0.999554,0.942306,-0.272787,0.878752,-0.213729,0.945696,0.745962,0.887439,0.151618,0.142323,0.527515
-0.939886,-0.999542,0.941291,-0.271005,0.876850,-0.211795,0.944988,0.746263,0.885965,0.152979,0.142873,0.526357
-0.938842,-0.999530,0.940266,-0.269226,0.874938,-0.209872,0.944273,0.746541,0.884482,0.154341,0.143428,0.525195
-0.937789,-0.999517,0.939233,-0.267448,0.873017,-0.207961,0.943553,0.746799,0.882990,0.155704,0.143987,0.524029
-0.936727,-0.999505,0.938190,-0.265672,0.871086,-0.206062,0.942827,0.747034,0.881487,0.157067,0.144550,0.522860
-0.935656,-0.999492,0.937139,-0.263898,0.869145,-0.204175,0.942094,0.747247,0.879975,0.158431,0.145118,0.521686
-0.934577,-0.999479,0.936079,-0.262125,0.867194,-0.202299,0.941356,0.747437,0.878453,0.159795,0.145690,0.520509
-0.933488,-0.999466,0.935010,-0.260355,0.865234,-0.200435,0.940611,0.747604,0.876921,0.161160,0.146266,0.519328
-0.932391,-0.999452,0.933932,-0.258586,0.863265,-0.198583,0.939860,0.747749,0.875379,0.162526,0.146847,0.518144
-0.931284,-0.999439,0.932845,-0.256819,0.861287,-0.196743,0.939103,0.747869,0.873828,0.163891,0.147432,0.516956
-0.930169,-0.999425,0.931749,-0.255054,0.859300,-0.194914,0.938340,0.747966,0.872268,0.165258,0.148022,0.515764
-0.929045,-0.999411,0.930644,-0.253291,0.857304,-0.193098,0.937570,0.748039,0.870698,0.166625,0.148616,0.514569
-0.927912,-0.999396,0.929530,-0.251530,0.855299,-0.191293,0.936795,0.748087,0.869118,0.167993,0.149214,0.513370
-0.926770,-0.999382,0.928408,-0.249770,0.853286,-0.189501,0.936014,0.748111,0.867529,0.169361,0.149816,0.512168
-0.925619,-0.999367,0.927276,-0.248013,0.851264,-0.187720,0.935226,0.748110,0.865930,0.170730,0.150423,0.510962
-0.924459,-0.999352,0.926136,-0.246257,0.849233,-0.185952,0.934432,0.748084,0.864322,0.172099,0.151034,0.509752
-0.923290,-0.999336,0.924986,-0.244504,0.847194,-0.184195,0.933632,0.748032,0.862705,0.173469,0.151650,0.508539
-0.922112,-0.999321,0.923828,-0.242752,0.845147,-0.182451,0.932826,0.747955,0.861078,0.174840,0.152270,0.507323
-0.920926,-0.999305,0.922661,-0.241003,0.843092,-0.180719,0.932014,0.747852,0.859442,0.176211,0.152894,0.506103
-0.919730,-0.999289,0.921485,-0.239256,0.841030,-0.178999,0.931196,0.747723,0.857796,0.177583,0.153522,0.504880
-0.918526,-0.999273,0.920300,-0.237510,0.838959,-0.177292,0.930372,0.747567,0.856141,0.178955,0.154155,0.503654
-0.917313,-0.999256,0.919106,-0.235767,0.836880,-0.175596,0.929541,0.747386,0.854477,0.180328,0.154793,0.502424
-0.916090,-0.999239,0.917903,-0.234026,0.834794,-0.173913,0.928705,0.747177,0.852804,0.181702,0.155434,0.501190
-0.914859,-0.999222,0.916691,-0.232287,0.832701,-0.172242,0.927862,0.746941,0.851122,0.183076,0.156080,0.499953
-0.913619,-0.999205,0.915470,-0.230550,0.830600,-0.170584,0.927013,0.746678,0.849430,0.184451,0.156731,0.498713
-0.912370,-0.999187,0.914241,-0.228815,0.828492,-0.168937,0.926158,0.746388,0.847730,0.185826,0.157386,0.497470
-0.911113,-0.999169,0.913002,-0.227082,0.826376,-0.167303,0.925297,0.746071,0.846020,0.187202,0.158045,0.496223
-0.909846,-0.999151,0.911755,-0.225351,0.824254,-0.165682,0.924430,0.745725,0.844301,0.188579,0.158708,0.494972
-0.908571,-0.999133,0.910498,-0.223623,0.822125,-0.164073,0.923557,0.745352,0.842573,0.189957,0.159376,0.493719
-0.907286,-0.999114,0.909233,-0.221897,0.819989,-0.162476,0.922678,0.744950,0.840836,0.191335,0.160048,0.492461
-0.905993,-0.999095,0.907958,-0.220173,0.817847,-0.160892,0.921792,0.744521,0.839090,0.192713,0.160725,0.491201
-0.904691,-0.999076,0.906675,-0.218451,0.815698,-0.159321,0.920901,0.744063,0.837336,0.194093,0.161406,0.489937
-0.903380,-0.999057,0.905383,-0.216732,0.813542,-0.157761,0.920003,0.743576,0.835572,0.195473,0.162091,0.488669
-0.902060,-0.999037,0.904082,-0.215015,0.811381,-0.156215,0.919100,0.743061,0.833799,0.196854,0.162781,0.487398
-0.900731,-0.999017,0.902772,-0.213300,0.809213,-0.154681,0.918190,0.742517,0.832018,0.198235,0.163475,0.486124
-0.899394,-0.998997,0.901453,-0.211588,0.807039,-0.153159,0.917274,0.741944,0.830227,0.199617,0.164173,0.484846
-0.898047,-0.998976,0.900125,-0.209878,0.804859,-0.151650,0.916352,0.741342,0.828428,0.201000,0.164876,0.483564
-0.896692,-0.998955,0.898789,-0.208170,0.802674,-0.150154,0.915424,0.740711,0.826620,0.202383,0.165583,0.482279
-0.895328,-0.998934,0.897443,-0.206464,0.800482,-0.148671,0.914490,0.740051,0.824803,0.203767,0.166295,0.480991
-0.893955,-0.998913,0.896089,-0.204761,0.798285,-0.147200,0.913550,0.739361,0.822978,0.205152,0.167011,0.479698
-0.892573,-0.998891,0.894725,-0.203061,0.796083,-0.145741,0.912603,0.738642,0.821144,0.206538,0.167731,0.478402
-0.891183,-0.998869,0.893353,-0.201363,0.793876,-0.144296,0.911651,0.737893,0.819301,0.207924,0.168456,0.477103
-0.889783,-0.998847,0.891971,-0.199667,0.791663,-0.142863,0.910693,0.737115,0.817449,0.209311,0.169185,0.475799
-0.888375,-0.998824,0.890581,-0.197974,0.789445,-0.141443,0.909728,0.736307,0.815589,0.210699,0.169919,0.474492
-0.886958,-0.998801,0.889182,-0.196283,0.787222,-0.140036,0.908758,0.735469,0.813721,0.212087,0.170657,0.473182
-0.885532,-0.998778,0.887774,-0.194595,0.784995,-0.138641,0.907781,0.734601,0.811843,0.213476,0.171399,0.471867
-0.884097,-0.998755,0.886357,-0.192909,0.782762,-0.137259,0.906798,0.733704,0.809958,0.214866,0.172146,0.470548
-0.882653,-0.998731,0.884931,-0.191226,0.780526,-0.135891,0.905810,0.732777,0.808063,0.216257,0.172897,0.469226
-0.881201,-0.998707,0.883496,-0.189546,0.778284,-0.134534,0.904815,0.731820,0.806161,0.217648,0.173653,0.467899
-0.879739,-0.998682,0.882052,-0.187868,0.776038,-0.133191,0.903814,0.730832,0.804250,0.219040,0.174413,0.466569
-0.878269,-0.998658,0.880600,-0.186193,0.773789,-0.131861,0.902807,0.729815,0.802330,0.220433,0.175178,0.465234
-0.876790,-0.998633,0.879138,-0.184520,0.771535,-0.130543,0.901794,0.728768,0.800402,0.221827,0.175947,0.463895
-0.875303,-0.998607,0.877668,-0.182850,0.769277,-0.129238,0.900775,0.727692,0.798466,0.223221,0.176720,0.462553
-0.873806,-0.998582,0.876188,-0.181183,0.767015,-0.127947,0.899750,0.726585,0.796522,0.224616,0.177498,0.461205
-0.872301,-0.998556,0.874700,-0.179518,0.764750,-0.126668,0.898719,0.725448,0.794569,0.226012,0.178280,0.459854
-0.870787,-0.998529,0.873203,-0.177856,0.762480,-0.125402,0.897682,0.724282,0.792608,0.227409,0.179067,0.458498
-0.869264,-0.998503,0.871697,-0.176197,0.760208,-0.124149,0.896639,0.723086,0.790639,0.228806,0.179858,0.457138
-0.867732,-0.998476,0.870182,-0.174541,0.757932,-0.122909,0.895590,0.721860,0.788662,0.230204,0.180654,0.455773
-0.866192,-0.998449,0.868658,-0.172887,0.755653,-0.121681,0.894534,0.720605,0.786676,0.231603,0.181454,0.454404
-0.864642,-0.998421,0.867125,-0.171236,0.753371,-0.120467,0.893473,0.719320,0.784683,0.233003,0.182259,0.453030
-0.863084,-0.998393,0.865583,-0.169588,0.751086,-0.119266,0.892406,0.718005,0.782682,0.234404,0.183068,0.451652
-0.861518,-0.998365,0.864032,-0.167943,0.748798,-0.118078,0.891332,0.716662,0.780672,0.235805,0.183881,0.450268
-0.859942,-0.998336,0.862473,-0.166300,0.746508,-0.116902,0.890253,0.715289,0.778655,0.237207,0.184699,0.448880
-0.858358,-0.998307,0.860904,-0.164661,0.744215,-0.115740,0.889168,0.713887,0.776630,0.238610,0.185522,0.447487
-0.856765,-0.998278,0.859327,-0.163024,0.741919,-0.114591,0.888076,0.712456,0.774597,0.240014,0.186349,0.446089
-0.855163,-0.998248,0.857741,-0.161390,0.739622,-0.113454,0.886979,0.710996,0.772556,0.241419,0.187181,0.444686
-0.853552,-0.998218,0.856145,-0.159760,0.737322,-0.112331,0.885876,0.709508,0.770507,0.242825,0.188017,0.443277
-0.851933,-0.998188,0.854541,-0.158132,0.735020,-0.111221,0.884766,0.707991,0.768451,0.244231,0.188857,0.441864
-0.850305,-0.998157,0.852928,-0.156507,0.732716,-0.110123,0.883651,0.706446,0.766387,0.245638,0.189702,0.440445
-0.848668,-0.998126,0.851306,-0.154885,0.730411,-0.109039,0.882529,0.704873,0.764316,0.247046,0.190552,0.439021
-0.847022,-0.998095,0.849676,-0.153266,0.728103,-0.107968,0.881402,0.703272,0.762237,0.248455,0.191406,0.437591
-0.845368,-0.998063,0.848036,-0.151651,0.725795,-0.106909,0.880269,0.701643,0.760150,0.249865,0.192264,0.436155
-0.843705,-0.998031,0.846388,-0.150038,0.723485,-0.105864,0.879129,0.699987,0.758056,0.251275,0.193128,0.434714
-0.842033,-0.997998,0.844730,-0.148428,0.721174,-0.104832,0.877984,0.698304,0.755955,0.252687,0.193995,0.433267
-0.840353,-0.997966,0.843064,-0.146822,0.718862,-0.103812,0.876832,0.696595,0.753846,0.254099,0.194867,0.431814
-0.838664,-0.997932,0.841389,-0.145218,0.716548,-0.102806,0.875675,0.694858,0.751731,0.255512,0.195744,0.430355
-0.836966,-0.997899,0.839704,-0.143618,0.714235,-0.101813,0.874512,0.693096,0.749608,0.256926,0.196625,0.428890
-0.835259,-0.997865,0.838011,-0.142021,0.711920,-0.100832,0.873342,0.691308,0.747477,0.258341,0.197511,0.427419
-0.833544,-0.997830,0.836310,-0.140427,0.709605,-0.099865,0.872167,0.689494,0.745340,0.259757,0.198401,0.425942
-0.831820,-0.997796,0.834599,-0.138836,0.707290,-0.098911,0.870986,0.687655,0.743196,0.261174,0.199296,0.424458
-0.830087,-0.997761,0.832879,-0.137249,0.704974,-0.097969,0.869799,0.685791,0.741045,0.262591,0.200196,0.422968
-0.828346,-0.997725,0.831151,-0.135664,0.702659,-0.097041,0.868605,0.683903,0.738887,0.264010,0.201100,0.421471
-0.826595,-0.997689,0.829413,-0.134083,0.700343,-0.096125,0.867406,0.681991,0.736722,0.265429,0.202008,0.419967
-0.824837,-0.997653,0.827667,-0.132506,0.698028,-0.095223,0.866201,0.680056,0.734551,0.266850,0.202921,0.418457
-0.823069,-0.997617,0.825912,-0.130931,0.695713,-0.094333,0.864990,0.678097,0.732373,0.268271,0.203839,0.416940
-0.821293,-0.997580,0.824148,-0.129360,0.693398,-0.093456,0.863773,0.676116,0.730189,0.269693,0.204761,0.415415
